original,replace,grep_pat
"^(.*[[:digit:]-]{1,} [[:alpha:]]{1,} [[:alpha:]]{4,} R)$",\1D,
"^(.*[[:digit:]-]{1,} [[:alpha:]]{1,} A)$",\1VE,
"^(.*[[:digit:]-]{1,} [[:alpha:]]{1,} [[:alpha:]]{4,} A)$",\1VE,
"^([[:digit:]-]{1,} [[:alpha:]]{1,} S)$",\1T,
"^(.*[[:digit:]-]{1,} [[:alpha:]]{1,} [[:alpha:]]{4,} S)$",\1T,
"^(.*[[:digit:]-]{1,} [[:alpha:]]{1,} P)$",\1L,
"^(.*[[:digit:]-]{1,} [[:alpha:]]{1,} [[:alpha:]]{4,} P)$",\1L,
"^(.*[[:digit:]-]{1,} [[:alpha:]]{1,} B)$",\1LVD,
"^(.*[[:digit:]-]{1,} [[:alpha:]]{1,} [[:alpha:]]{4,} B)$",\1LVD,
"^(.*[[:digit:]-]{1,} [[:alpha:]]{1,}.*[[:space:]]AV(E(N(U(E)?)?)?|N(U(E)?)?)?).*$",\1,
"^(.*[[:digit:]-]{1,} [[:alpha:]]{1,}.*[[:space:]]B(OU)?L(E)?V(AR)?D).*$",\1,
"^(.*[[:digit:]-]{1,} E(AST)? [[:digit:]]{1,} S).*$",\1T,
"^(.*[[:digit:]-]{1,} W(EST)? [[:digit:]]{1,} S).*$",\1T,
"^(.*[[:alnum:]]{1,}-[[:alnum:]]{1,})-([[:alnum:]]{1,}.*)$",\1 \2,
"^(.*[[:digit:]-]{1,} ((EA?S?T?)|(WE?S?T?)|(NO?R?T?H?)|(SO?U?T?H?))?[[:space:]]?[[:digit:]]{1,} S)$",\1T,
"^([[:digit:]-]{1,} [[:digit:]]{1,} A)$",\1VE,
"^(.*[[:digit:]]{1,} (E|W) [[:digit:]]{1,} S)( |$)",\1T,
"^(.*[[:digit:]]{1,})-([[:digit:]]{1,}) ST?R?E?E?T?$",\1 \2 ST,
"^(.*[[:digit:]]{1,})-[[:digit:]]{1,} AV?E?N?U?E?$",\1 \2 AVE,
